date,trades,wins,losses,day_pnl,capital,crossovers,signals_passed
2026-02-02,1,1,0,436.08,500436.08,4,1
2026-02-03,1,1,0,189.39,500625.47,8,5
2026-02-04,1,1,0,164.39,500789.86,6,6
2026-02-05,1,1,0,184.62,500974.48,6,5
2026-02-06,1,1,0,181.1,501155.58,2,2
2026-01-27,1,1,0,191.12,500191.12,4,1
2026-01-28,1,1,0,189.39,500380.51,8,6
2026-01-29,1,1,0,164.39,500544.9,6,6
2026-01-30,1,1,0,184.37,500729.27,6,2
2026-02-02,1,1,0,181.1,500910.37,2,2
2026-02-03,1,0,1,-1673.89,499236.48,4,4
2026-02-04,1,0,1,-146.66,499089.82,2,2
2026-02-06,1,0,1,-183.63,498906.19,3,2
2026-02-09,1,1,0,182.19,499088.38,5,4
2026-01-07,1,1,0,191.12,500191.12,4,1
2026-01-08,3,2,1,291.27,500482.39,7,5
2026-01-09,4,4,0,1115.96,501598.35,6,6
2026-01-12,3,3,0,823.02,502421.37,6,5
2026-01-13,2,2,0,281.55,502702.92,2,2
2026-01-14,4,4,0,965.72,503668.64,4,4
2026-01-15,2,1,1,127.84,503796.48,2,2
2026-01-19,3,2,1,310.63,504107.11,3,3
2026-01-20,2,1,1,-364.31,503742.8,4,2
2026-01-21,2,2,0,379.35,504122.15,2,2
2026-01-22,3,2,1,725.09,504847.24,3,3
2026-01-23,3,3,0,670.0,505517.24,3,3
2026-01-26,2,2,0,412.93,505930.17,2,2
2026-01-27,2,2,0,213.69,506143.86,2,2
2026-01-28,1,1,0,196.36,506340.22,3,1
2026-01-29,3,3,0,1103.82,507444.04,3,3
2026-01-30,2,2,0,317.22,507761.26,5,2
2026-02-02,1,0,1,-168.34,507592.92,5,2
2026-02-03,4,4,0,1083.0,508675.92,4,4
2026-02-04,3,2,1,302.84,508978.76,3,3
2026-02-05,1,1,0,192.62,509171.38,1,1
2026-02-06,2,1,1,98.21,509269.59,2,2
2026-02-09,4,3,1,620.44,509890.03,4,4
2026-02-10,4,3,1,455.91,510345.94,4,4
2026-02-11,1,1,0,199.54,510545.48,2,1
2026-02-13,6,5,1,1126.1,511671.58,6,6
2026-02-16,2,1,1,92.84,511764.42,2,2
2026-02-17,2,1,1,-104.94,511659.48,2,2
2026-01-07,1,1,0,191.12,500191.12,4,1
2026-01-08,3,2,1,291.27,500482.39,7,5
2026-01-09,4,4,0,1115.96,501598.35,6,6
2026-01-12,3,3,0,823.02,502421.37,6,5
2026-01-13,2,2,0,281.55,502702.92,2,2
2026-01-14,4,4,0,965.72,503668.64,4,4
2026-01-15,2,1,1,127.84,503796.48,2,2
2026-01-19,3,2,1,310.63,504107.11,3,3
2026-01-20,2,1,1,-364.31,503742.8,4,2
2026-01-21,2,2,0,379.35,504122.15,2,2
2026-01-22,3,2,1,725.09,504847.24,3,3
2026-01-23,3,3,0,670.0,505517.24,3,3
2026-01-26,2,2,0,412.93,505930.17,2,2
2026-01-27,2,2,0,213.69,506143.86,2,2
2026-01-28,1,1,0,196.36,506340.22,3,1
2026-01-29,3,3,0,1103.82,507444.04,3,3
2026-01-30,2,2,0,317.22,507761.26,5,2
2026-02-02,1,0,1,-168.34,507592.92,5,2
2026-02-03,4,4,0,1083.0,508675.92,4,4
2026-02-04,3,2,1,302.84,508978.76,3,3
2026-02-05,1,1,0,192.62,509171.38,1,1
2026-02-06,2,1,1,98.21,509269.59,2,2
2026-02-09,4,3,1,620.44,509890.03,4,4
2026-02-10,4,3,1,455.91,510345.94,4,4
2026-02-11,1,1,0,199.54,510545.48,2,1
2026-02-13,6,5,1,1126.1,511671.58,6,6
2026-02-16,2,1,1,92.84,511764.42,2,2
2026-02-17,2,1,1,-104.94,511659.48,2,2
2026-02-05,1,1,0,191.12,500191.12,4,2
2026-02-11,1,1,0,128.82,500128.82,2,1
2026-02-12,2,1,1,70.37,500199.19,3,2
2026-02-13,3,1,2,-804.99,499394.2,3,3
2026-02-16,1,0,1,-562.2,498832.0,1,1
